Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
AL1,"480,035",568,34,5,"1,152",2.9,47,5,98,"36,203",52,"61,500",15,https://propertydata.co.uk/draw?input=AL1
AL2,"597,554",454,15,5,"1,086",2.2,34,5,82,"23,314",36,"51,800",10,https://propertydata.co.uk/draw?input=AL2
AL3,"584,156",528,28,9,"1,371",2.8,100,7,86,"27,971",49,"59,000",15,https://propertydata.co.uk/draw?input=AL3
AL4,"556,673",523,20,10,"1,124",2.4,,7,67,"27,203",42,"56,200",12,https://propertydata.co.uk/draw?input=AL4
AL5,"732,307",582,26,8,"1,338",2.2,50,8,58,"30,462",52,"63,200",8,https://propertydata.co.uk/draw?input=AL5
AL6,"664,767",433,12,9,"1,605",2.9,,8,59,"11,181",36,"58,500",9,https://propertydata.co.uk/draw?input=AL6
AL7,"367,259",399,24,9,978,3.2,,7,111,"33,930",27,"46,800",38,https://propertydata.co.uk/draw?input=AL7
AL8,"455,284",447,11,10,"1,163",3.1,,7,145,"13,362",39,"52,300",23,https://propertydata.co.uk/draw?input=AL8
AL9,"573,491",441,8,5,"1,316",2.8,73,8,108,"10,638",30,"48,800",9,https://propertydata.co.uk/draw?input=AL9
AL10,"328,257",377,11,2,"1,390",5.1,40,7,139,"35,360",27,"43,100",33,https://propertydata.co.uk/draw?input=AL10
B1,"223,700",227,3,,809,4.3,30,9,317,"8,511",53,"43,600",24,https://propertydata.co.uk/draw?input=B1
B2,"188,353",298,2,2,724,4.6,24,6,"3,619",653,46,"51,600",16,https://propertydata.co.uk/draw?input=B2
B3,"231,668",239,2,1,824,4.3,24,9,373,"2,226",52,"50,900",10,https://propertydata.co.uk/draw?input=B3
B4,"289,713",254,,,778,3.2,17,6,590,"4,332",21,"24,100",24,https://propertydata.co.uk/draw?input=B4
B5,"220,621",277,5,1,772,4.2,30,9,373,"12,003",39,"39,600",36,https://propertydata.co.uk/draw?input=B5
