level_0,index,id,name,categories,referralId,hasPerk,location.address,location.crossStreet,location.lat,location.lng,location.labeledLatLngs,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,venuePage.id,location.neighborhood
0,0,4c9e1438542b224b2925f09f,Bus Stop,Bus Stop,v-1611346322,False,Bournemouth Gardens,Gervis Rd,50.72004991352224,-1.8783867497434523,"[{'label': 'display', 'lat': 50.72004991352224, 'lng': -1.8783867497434523}]",BH 1 2,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth Gardens (Gervis Rd)', 'Bournemouth', 'Dorset', 'BH 1 2']",,
1,1,4e282b3fd4c0e361d9db0e87,Bus Stop,Bus Stop,v-1611346322,False,Bourne Avenue,,50.72099925094467,-1.8807245737094367,"[{'label': 'display', 'lat': 50.72099925094467, 'lng': -1.8807245737094367}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bourne Avenue', 'Bournemouth', 'Dorset']",,
2,2,4d7b7ccecf3f3704925d3c40,Bournemouth Sq. Bus Stop,Bus Stop,v-1611346322,False,,,50.719904768700374,-1.8785133112071997,"[{'label': 'display', 'lat': 50.719904768700374, 'lng': -1.8785133112071997}]",,GB,,,United Kingdom,,,
3,3,4cd812e553a7f04d8a6d6116,Bus stop - cranborne house,Bus Stop,v-1611346322,False,,,50.72427056882155,-1.8672632932293252,"[{'label': 'display', 'lat': 50.72427056882155, 'lng': -1.8672632932293252}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset']",,
4,4,4da59b0d0cb6d75e29fae504,Cememtery Junction Bus Stop,Bus Stop,v-1611346322,False,,,50.73159058826061,-1.8733577885937027,"[{'label': 'display', 'lat': 50.73159058826061, 'lng': -1.8733577885937027}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset']",,
5,5,4dffa7b4a809baedbd923d16,Centre Bus Stop,Bus Stop,v-1611346322,False,,,50.7197901424205,-1.8784245224871567,"[{'label': 'display', 'lat': 50.7197901424205, 'lng': -1.8784245224871567}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset']",,
6,6,4d868a2c8de9721e16265d51,Bournemouth Square Bus Station (Stand S),Bus Stop,v-1611346322,False,,,50.719821,-1.878241,"[{'label': 'display', 'lat': 50.719821, 'lng': -1.878241}]",,GB,,,United Kingdom,,,
7,7,4fa7d29ae4b0bcbb48bca0dd,Bournemouth Yellow Bus Station,Bus Station,v-1611346322,False,,,50.71979581223556,-1.8777508950488393,"[{'label': 'display', 'lat': 50.71979581223556, 'lng': -1.8777508950488393}]",,GB,,,United Kingdom,,,
8,8,4e20550f52b1f82ffb929003,Staff Bus,Outdoors & Recreation,v-1611346322,False,,,50.72121,-1.88116,"[{'label': 'display', 'lat': 50.72121, 'lng': -1.88116}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset']",,
9,9,4fcf5aa8e4b0e76d894c2b9b,Number 3 Bus,Bus Line,v-1611346322,False,,,50.719079,-1.880247,"[{'label': 'display', 'lat': 50.719079, 'lng': -1.880247}]",,GB,,,United Kingdom,,,
10,10,4e6757aa183850162845d77b,39 Bus,Bus Line,v-1611346322,False,,,50.7193441,-1.877624,"[{'label': 'display', 'lat': 50.7193441, 'lng': -1.877624}]",,GB,,,United Kingdom,,,
11,11,58bc43167220e6425c323161,Burlington Arcade Bus Stop,Bus Stop,v-1611346322,False,,,50.72129,-1.8749925,"[{'label': 'display', 'lat': 50.72129, 'lng': -1.8749925}]",BH1,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset', 'BH1']",,
12,12,5a7aa96995da0c0f0f5d501f,Terrace Road Bus Stop,Bus Stop,v-1611346322,False,Terrace Road,,50.719353,-1.883015,"[{'label': 'display', 'lat': 50.719353, 'lng': -1.883015}]",BH2 5NW,GB,Bournemouth,Dorset,United Kingdom,"['Terrace Road', 'Bournemouth', 'Dorset', 'BH2 5NW']",,
13,13,5a66dd30e96d0c0183568265,St Michael's Bus Stop,Bus Stop,v-1611346322,False,Poole Road,,50.72005,-1.8896307,"[{'label': 'display', 'lat': 50.72005, 'lng': -1.8896307}]",BH2 5QJ,GB,Bournemouth,Dorset,United Kingdom,"['Poole Road', 'Bournemouth', 'Dorset', 'BH2 5QJ']",,
14,14,4da71f7c6a230db30ed17543,Poole Hill Bus Stop,Bus Stop,v-1611346322,False,,,50.719727859558,-1.8869507991128642,"[{'label': 'display', 'lat': 50.719727859558, 'lng': -1.8869507991128642}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset']",,
15,15,5ac3c9e5898bdc1185da485c,Bournemouth Pier Bus Stop,Bus Stop,v-1611346322,False,Exeter Road,,50.71658,-1.8771403,"[{'label': 'display', 'lat': 50.71658, 'lng': -1.8771403}]",BH2 5AF,GB,Bournemouth,Dorset,United Kingdom,"['Exeter Road', 'Bournemouth', 'Dorset', 'BH2 5AF']",,
16,16,52defcdc11d25252db4e1fad,2b yellow bus,Bus Line,v-1611346322,False,,,50.72134793636238,-1.873960560340296,"[{'label': 'display', 'lat': 50.72134793636238, 'lng': -1.873960560340296}]",,GB,,,United Kingdom,,,
17,17,4ffd9482e4b06f1e8651fff0,In The Bus,Other Great Outdoors,v-1611346322,False,,,50.718132,-1.873774,"[{'label': 'display', 'lat': 50.718132, 'lng': -1.873774}]",,GB,,,United Kingdom,,,
18,18,5a7aa8dbb6eedb703f1f803e,Queens Road Bus Stop,Bus Stop,v-1611346322,False,Poole Road,,50.72068,-1.8920199,"[{'label': 'display', 'lat': 50.72068, 'lng': -1.8920199}]",BH2 5QU,GB,Bournemouth,Dorset,United Kingdom,"['Poole Road', 'Bournemouth', 'Dorset', 'BH2 5QU']",,
19,19,4cf2312c7e93f04d9aba5169,Lansdowne Bath Road Bus Stop,Bus Stop,v-1611346322,False,,,50.72119328401119,-1.8679647731489626,"[{'label': 'display', 'lat': 50.72119328401119, 'lng': -1.8679647731489626}]",,GB,,,United Kingdom,,,
